Eruotive Center,Sample,Class,Class 2,Elongation 2D,Form Factor 2D,Aspect Ratio 2D,Compactness 2D,Rectangularity 2D,Roundness 2D,Curvature 2D,Circularity 2D,Elongation 3D,Form Factor 3D,Aspect Ratio 3D,Compactness 3D,Rectangularity 3D,Roundness 3D,Curvature 3D,Circularity 3D,Wilson-Huang Factor,DellinoLaVolpe Factor,Krumbein intercept sphericity,Corey Shape Factor,Aschenbrenner working sphericity
Catamarca,CA 3VIA,Fall,Distal,2.681031731,0.42260005,0.647507914,0.576040429,1.010721904,0.474906556,0.943323579,0.650076957,0.000604798,0.029945391,0.012528783,0.271992637,0.562001622,3157.844788,0.000448015,0.096431737,0.328914274,0.06268805,0.188357896,0.012825783,0.068972772
Catamarca,CA 3VIA,Fall,Distal,3.235799347,0.428800355,0.520509936,0.593730545,0.98961738,0.393485321,1.043910583,0.654828493,0.000984421,0.042935378,0.016397557,0.303296199,0.574077048,1940.08397,0.000788249,0.122614979,0.26648813,0.080291782,0.186518744,0.017279211,0.077837048
Catamarca,CA 3VIA,Fall,Distal,2.13388136,0.615172467,0.65230312,0.718423077,0.936271133,0.596677758,1.015379803,0.78432931,0.000836037,0.033258982,0.01614912,0.326394243,0.695394773,2284.420947,0.000596241,0.103420342,0.332822371,0.081115605,0.205692923,0.016519004,0.081807842
Catamarca,CA 3VIA,Fall,Distal,2.431456311,0.44822112,0.720973093,0.570445913,0.986555365,0.523653063,0.925175949,0.669493181,0.002038567,0.038104378,0.02046147,0.210919991,0.548046856,936.8635607,0.001182676,0.113235669,0.369289956,0.075810508,0.233274173,0.020735828,0.09820419
Catamarca,CA 3VIA,Fall,Distal,2.335665015,0.240627666,0.803304827,0.532977736,1.311075597,0.545129347,0.664389864,0.490538139,0.001536332,0.011842575,0.012279912,0.099335276,0.52050617,1243.129617,0.000449386,0.051955407,0.40718852,0.025486109,0.20719134,0.01235362,0.071836609
Catamarca,CA 3VIA,Fall,Distal,2.136976014,0.653955616,0.71224465,0.657008755,0.875659287,0.595813681,1.047656474,0.808675223,0.000292634,0.020474237,0.009339552,0.306740031,0.645543247,6526.454467,0.000214299,0.07484081,0.360120224,0.060521909,0.178578986,0.009474303,0.058123984
Catamarca,CA 3VIA,Fall,Distal,3.322133144,0.471341151,0.465960109,0.646002543,0.966221257,0.383259638,1.108973419,0.686542898,0.001483702,0.058753032,0.021369548,0.35487829,0.617169852,1287.225337,0.001277175,0.151130988,0.240811781,0.103757907,0.193974842,0.022946324,0.090018836
Catamarca,CA 3VIA,Fall,Distal,2.510593672,0.446381651,0.817562335,0.487194856,0.921179448,0.507146799,0.938180329,0.668117992,0.001085666,0.039153752,0.015620393,0.227031082,0.474346119,1759.158662,0.000791247,0.115305207,0.415878927,0.077037483,0.226407453,0.015699682,0.084657932
Catamarca,CA 3VIA,Fall,Distal,2.066557451,0.489320199,0.673368271,0.71862094,1.0533267,0.61611621,0.891179637,0.69951426,0.001590421,0.067193334,0.025407365,0.42196607,0.684427889,1200.851267,0.001462934,0.165278918,0.347313105,0.11561496,0.242805175,0.025905671,0.111429968
Catamarca,CA 3VIA,Fall,Distal,1.45055017,0.45371232,0.993640218,0.693806053,1.095901413,0.87776319,0.718954827,0.67358171,0.008236396,0.058224816,0.042012117,0.214297122,0.64259615,231.8804692,0.003980118,0.150223802,0.51775937,0.101188006,0.346529468,0.04201233,0.170636332
Catamarca,CA 3VIA,Fall,Distal,2.522254058,0.248244007,0.591679873,0.67007648,1.407295863,0.504802258,0.701259474,0.498240912,0.000764056,0.023040711,0.013246394,0.245829946,0.652612323,2499.632657,0.000439622,0.080971201,0.301110941,0.040343165,0.184078639,0.01370503,0.069907052
Catamarca,CA 3VIA,Fall,Distal,1.580755382,0.410040256,0.980750083,0.645025638,1.111474929,0.805462729,0.713494325,0.640343858,0.001984891,0.038689415,0.02198762,0.243590766,0.619831716,962.1986288,0.001173685,0.114391769,0.501263037,0.073250067,0.277446183,0.021988658,0.110833172
Catamarca,CA 3VIA,Fall,Distal,2.13858272,0.469174363,0.809978235,0.577298724,0.977623023,0.595366049,0.887718159,0.684963038,0.000705801,0.033636319,0.013974217,0.279760277,0.562115703,2705.945998,0.000536611,0.1042011,0.411312375,0.071373902,0.217177448,0.014051871,0.078440766
Catamarca,CA 3V2,Fall,Distal,2.118068467,0.40771941,0.812900008,0.580795011,1.052083948,0.601132383,0.823560733,0.638529099,0.004940597,0.039230128,0.028264676,0.163440308,0.55147814,386.5644707,0.002175698,0.115455108,0.419260262,0.073721446,0.275132356,0.028416416,0.125318001
Catamarca,CA 3V2,Fall,Distal,1.725409356,0.265537526,0.94727607,0.611830729,1.344740185,0.737934763,0.599865614,0.515303334,0.008452416,0.130447641,0.052523652,0.326623542,0.565969792,225.9542586,0.006933361,0.257211759,0.499207548,0.132542077,0.364538166,0.052542915,0.195561408
Catamarca,CA 3V2,Fall,Distal,2.234967116,0.350692307,0.69152364,0.647026147,1.183581522,0.569690505,0.784591554,0.592192795,0.004261001,0.097171048,0.03809723,0.352341872,0.605736548,448.2184243,0.003608816,0.211360871,0.361872412,0.125166385,0.281394867,0.03874699,0.146698593
Catamarca,CA 3V2,Fall,Distal,2.673371925,0.272866382,0.633736725,0.590244218,1.270246939,0.476267269,0.756919421,0.522366138,0.001859416,0.03423141,0.019242163,0.209665286,0.568292814,1027.128656,0.001035619,0.105426518,0.32472752,0.055071243,0.215164994,0.019744745,0.091223155
Catamarca,CA 3V2,Fall,Distal,2.112760847,0.358535782,0.692861821,0.683129483,1.202989961,0.602642531,0.771323145,0.598778575,0.001435869,0.050353213,0.021817618,0.342796351,0.656161563,1330.106814,0.001127441,0.13635931,0.355664463,0.081649033,0.233891887,0.022185822,0.101455053
